Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Anglès,80095,Selva,Comarques Gironines,2017,5479,62,8347,11.32,1523,135,1,1,0.000601,0.000558,,,,,,,,,,,,,,,,
Anglesola,430189,Urgell,Ponent,2017,1324,16,1725,12.08,1303,108,,,0.000155,0.000115,,,,,,,,,,,,,,,,
Arbeca,250313,Garrigues,Ponent,2017,2231,24,2506,10.76,1123,104,,,0.000233,0.000168,,,,,,,,,,,,,,,,
"Arboç, l'",250328,Baix Penedès,Penedès,2017,5489,65,14044,11.84,2559,216,,,0.00063,0.000939,,,,,,,,,,,,,,,,
Arbolí,80109,Baix Camp,Camp de Tarragona,2017,123,1,22,8.13,179,22,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Arbúcies,250334,Selva,Comarques Gironines,2017,6427,78,8671,12.14,1349,111,,,0.000756,0.00058,,,,,,,,,,,,,,,,
Arenys de Mar,250349,Maresme,Metropolità,2017,15368,219,27522,14.25,1791,126,0.8721,0.5158,0.002122,0.001841,16,13,9,37,36,22,74,12,767,1148,2474,3874,6346,1277,10457,1179
Arenys de Munt,430192,Maresme,Metropolità,2017,8728,101,10700,11.57,1226,106,0.8713,0.6746,0.000979,0.000716,,,,,,,,,,,,,,,,
Argelaguer,250365,Garrotxa,Comarques Gironines,2017,423,2,127,4.73,300,64,,,0.000019,0.000008,,,,,,,,,,,,,,,,
Argençola,80116,Anoia,Penedès,2017,220,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Argentera, l'",80121,Baix Camp,Camp de Tarragona,2017,135,1,324,7.41,2400,324,,,0.00001,0.000022,,,,,,,,,,,,,,,,
Argentona,170123,Maresme,Metropolità,2017,12133,104,11500,8.57,948,111,0.8365,0.7757,0.001008,0.000769,7,5,4,11,13,8,46,10,937,988,796,2380,1308,525,3472,1094
"Armentera, l'",80137,Alt Empordà,Comarques Gironines,2017,949,12,683,12.64,720,57,,,0.000116,0.000046,,,,,,,,,,,,,,,,
Arnes,80155,Terra Alta,Terres de l'Ebre,2017,459,6,339,13.07,739,57,,,0.000058,0.000023,,,,,,,,,,,,,,,,
Arres,89045,Aran,Alt Pirineu i Aran,2017,59,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Arsèguel,80168,Alt Urgell,Alt Pirineu i Aran,2017,82,1,22,12.2,268,22,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Artés,250390,Bages,Comarques Centrals,2017,5585,64,8090,11.46,1449,126,,,0.00062,0.000541,,,,,,,,,,,,,,,,
Artesa de Lleida,250404,Segrià,Ponent,2017,1527,21,3642,13.75,2385,173,,,0.000203,0.000244,,,,,,,,,,,,,,,,
Artesa de Segre,80174,Noguera,Ponent,2017,3508,76,18547,21.66,5287,244,,,0.000736,0.001241,,,,,,,,,,,,,,,,
Ascó,80180,Ribera d'Ebre,Terres de l'Ebre,2017,1690,20,3625,11.83,2145,181,,,0.000194,0.000242,,,,,,,,,,,,,,,,
Aspa,430206,Segrià,Ponent,2017,214,2,18,9.35,84,9,,,0.000019,0.000001,,,,,,,,,,,,,,,,
"Avellanes i Santa Linya, les",170157,Noguera,Ponent,2017,455,2,1176,4.4,2585,588,,,0.000019,0.000079,,,,,,,,,,,,,,,,
Avià,250411,Berguedà,Comarques Centrals,2017,2249,12,1131,5.34,503,94,,,0.000116,0.000076,,,,,,,,,,,,,,,,
Avinyó,430213,Bages,Comarques Centrals,2017,2240,21,2239,9.38,1000,107,,,0.000203,0.00015,,,,,,,,,,,,,,,,
Avinyonet de Puigventós,82520,Alt Empordà,Comarques Gironines,2017,1565,10,2057,6.39,1314,206,,,0.000097,0.000138,,,,,,,,,,,,,,,,
Avinyonet del Penedès,80193,Alt Penedès,Penedès,2017,1653,17,1391,10.28,842,82,,,0.000165,0.000093,,,,,,,,,,,,,,,,
Badalona,170160,Barcelonès,Metropolità,2017,215848,2276,361353,10.54,1674,159,0.9455,0.8878,0.022051,0.024172,90,93,85,409,355,173,919,152,7025,24771,78105,82392,41573,18939,93103,15445
Badia del Vallès,250447,Vallès Occidental,Metropolità,2017,13466,100,7615,7.43,565,76,0.99,0.8295,0.000969,0.000509,2,2,1,8,8,7,62,10,69,1334,189,494,291,232,4425,581
Bagà,430228,Berguedà,Comarques Centrals,2017,2149,36,2894,16.75,1347,80,,,0.000349,0.000194,,,,,,,,,,,,,,,,
Baix Pallars,250450,Pallars Sobirà,Alt Pirineu i Aran,2017,341,2,40,5.87,117,20,,,0.000019,0.000003,,,,,,,,,,,,,,,,
Balaguer,80207,Noguera,Ponent,2017,16670,278,40947,16.68,2456,147,0.9388,0.8368,0.002693,0.002739,18,22,8,53,54,26,77,20,2666,7765,3236,9450,4681,1827,9031,2291
Balenyà,170139,Osona,Comarques Centrals,2017,3665,29,8078,7.91,2204,279,,,0.000281,0.00054,,,,,,,,,,,,,,,,
Balsareny,250463,Bages,Comarques Centrals,2017,3240,33,2688,10.19,830,81,,,0.00032,0.00018,,,,,,,,,,,,,,,,
Banyeres del Penedès,250485,Baix Penedès,Penedès,2017,3121,18,1724,5.77,552,96,,,0.000174,0.000115,,,,,,,,,,,,,,,,
Banyoles,251706,Pla de l'Estany,Comarques Gironines,2017,19397,299,40252,15.41,2075,135,0.8462,0.7101,0.002897,0.002693,10,17,15,57,64,32,83,21,727,3135,4208,10425,6335,2949,10683,1790
Barbens,170182,Pla d'Urgell,Ponent,2017,933,9,950,9.65,1018,106,,,0.000087,0.000064,,,,,,,,,,,,,,,,
Barberà de la Conca,250479,Conca de Barberà,Camp de Tarragona,2017,477,5,257,10.48,539,51,,,0.000048,0.000017,,,,,,,,,,,,,,,,
Barberà del Vallès,250498,Vallès Occidental,Metropolità,2017,32860,461,97068,14.03,2954,211,0.6312,0.3577,0.004466,0.006493,33,36,20,88,91,49,112,32,9399,11358,22796,18247,11421,6207,13446,4194
Barcelona,430234,Barcelonès,Metropolità,2017,1620809,27155,3265184,16.75,2015,120,0.9946,0.9936,0.263094,0.218414,1592,1159,929,4518,5607,2691,8656,2003,171437,274449,398221,534140,556735,214990,952242,162970
"Baronia de Rialb, la",80214,Noguera,Ponent,2017,235,1,30,4.26,128,30,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Bàscara,250501,Alt Empordà,Comarques Gironines,2017,989,23,2562,23.26,2590,111,,,0.000223,0.000171,,,,,,,,,,,,,,,,
Bassella,430249,Alt Urgell,Alt Pirineu i Aran,2017,229,1,311,4.37,1358,311,,,0.00001,0.000021,,,,,,,,,,,,,,,,
Batea,250518,Terra Alta,Terres de l'Ebre,2017,1938,32,2335,16.51,1205,73,,,0.00031,0.000156,,,,,,,,,,,,,,,,
Bausen,250523,Aran,Alt Pirineu i Aran,2017,67,1,1049,14.93,15657,1049,,,0.00001,0.00007,,,,,,,,,,,,,,,,
Begues,250539,Baix Llobregat,Metropolità,2017,6830,51,7212,7.47,1056,141,,,0.000494,0.000482,,,,,,,,,,,,,,,,
Begur,430252,Baix Empordà,Comarques Gironines,2017,3933,64,16233,16.27,4127,254,,,0.00062,0.001086,,,,,,,,,,,,,,,,
Belianes,430265,Urgell,Ponent,2017,519,12,708,23.12,1364,59,,,0.000116,0.000047,,,,,,,,,,,,,,,,
Bell-lloc d'Urgell,80229,Pla d'Urgell,Ponent,2017,2321,15,3075,6.46,1325,205,,,0.000145,0.000206,,,,,,,,,,,,,,,,
Bellaguarda,170195,Garrigues,Ponent,2017,305,5,49,16.39,161,10,,,0.000048,0.000003,,,,,,,,,,,,,,,,
Bellcaire d'Empordà,170209,Baix Empordà,Comarques Gironines,2017,668,11,2653,16.47,3972,241,,,0.000107,0.000177,,,,,,,,,,,,,,,,
Bellcaire d'Urgell,170216,Noguera,Ponent,2017,1237,14,2259,11.32,1826,161,,,0.000136,0.000151,,,,,,,,,,,,,,,,
Bellmunt d'Urgell,80235,Noguera,Ponent,2017,188,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Bellmunt del Priorat,250557,Priorat,Camp de Tarragona,2017,290,3,102,10.34,352,34,,,0.000029,0.000007,,,,,,,,,,,,,,,,
Bellprat,172348,Anoia,Penedès,2017,74,1,172,13.51,2324,172,,,0.00001,0.000012,,,,,,,,,,,,,,,,
Bellpuig,430290,Urgell,Ponent,2017,4985,79,10998,15.85,2206,139,,,0.000765,0.000736,,,,,,,,,,,,,,,,
Bellvei,170237,Baix Penedès,Penedès,2017,2193,25,11423,11.4,5209,457,,,0.000242,0.000764,,,,,,,,,,,,,,,,
Bellver de Cerdanya,170293,Cerdanya,Alt Pirineu i Aran,2017,1973,40,3398,20.27,1722,85,,,0.000388,0.000227,,,,,,,,,,,,,,,,
Bellvís,170242,Pla d'Urgell,Ponent,2017,2276,34,5885,14.94,2586,173,,,0.000329,0.000394,,,,,,,,,,,,,,,,
Benavent de Segrià,430304,Segrià,Ponent,2017,1442,7,1741,4.85,1207,249,,,0.000068,0.000116,,,,,,,,,,,,,,,,
Benifallet,170255,Baix Ebre,Terres de l'Ebre,2017,721,11,489,15.26,678,44,,,0.000107,0.000033,,,,,,,,,,,,,,,,
Benissanet,170268,Ribera d'Ebre,Terres de l'Ebre,2017,1172,10,445,8.53,380,45,,,0.000097,0.00003,,,,,,,,,,,,,,,,
Berga,80240,Berguedà,Comarques Centrals,2017,16115,299,48660,18.55,3020,163,0.9365,0.9155,0.002897,0.003255,16,30,11,56,59,32,76,19,2709,8493,4265,9866,4078,2767,13951,2531
Besalú,250595,Garrotxa,Comarques Gironines,2017,2443,62,7010,25.38,2869,113,,,0.000601,0.000469,,,,,,,,,,,,,,,,
Bescanó,430326,Gironès,Comarques Gironines,2017,4929,39,8432,7.91,1711,216,,,0.000378,0.000564,,,,,,,,,,,,,,,,
Beuda,430332,Garrotxa,Comarques Gironines,2017,181,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Bigues i Riells,250560,Vallès Oriental,Metropolità,2017,8957,56,6148,6.25,686,110,,,0.000543,0.000411,,,,,,,,,,,,,,,,
Biosca,430347,Segarra,Ponent,2017,186,1,28,5.38,151,28,,,0.00001,0.000002,,,,,,,,,,,,,,,,
"Bisbal d'Empordà, la",170274,Baix Empordà,Comarques Gironines,2017,10775,231,37713,21.44,3500,163,0.9394,0.8644,0.002238,0.002523,5,9,12,64,41,23,66,11,476,3729,2159,13906,3520,1907,10611,1405
"Bisbal de Falset, la",170280,Priorat,Camp de Tarragona,2017,217,1,65,4.61,300,65,,,0.00001,0.000004,,,,,,,,,,,,,,,,
"Bisbal del Penedès, la",430350,Baix Penedès,Penedès,2017,3460,15,1615,4.34,467,108,,,0.000145,0.000108,,,,,,,,,,,,,,,,
Biure,250609,Alt Empordà,Comarques Gironines,2017,230,3,700,13.04,3043,233,,,0.000029,0.000047,,,,,,,,,,,,,,,,
Blancafort,170314,Conca de Barberà,Camp de Tarragona,2017,381,1,10,2.62,26,10,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Blanes,170307,Selva,Comarques Gironines,2017,38813,603,97010,15.54,2499,161,0.8806,494,0.005842,0.006489,19,43,25,117,130,46,189,34,2203,15501,7773,23039,9457,3567,31377,4093
Boadella i les Escaules,250616,Alt Empordà,Comarques Gironines,2017,267,2,154,7.49,577,77,,,0.000019,0.00001,,,,,,,,,,,,,,,,
Bolvir,430363,Cerdanya,Alt Pirineu i Aran,2017,380,5,131,13.16,345,26,,,0.000048,0.000009,,,,,,,,,,,,,,,,
Bonastre,80288,Baix Penedès,Penedès,2017,661,5,199,7.56,301,40,,,0.000048,0.000013,,,,,,,,,,,,,,,,
"Bòrdes, Es",80291,Aran,Alt Pirineu i Aran,2017,252,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Bordils,80305,Gironès,Comarques Gironines,2017,1693,16,2555,9.45,1509,160,,,0.000155,0.000171,,,,,,,,,,,,,,,,
"Borges Blanques, les",170329,Garrigues,Ponent,2017,6005,87,10687,14.49,1780,123,0.9195,0.7715,0.000843,0.000715,,,,,,,,,,,,,,,,
"Borges del Camp, les",80312,Baix Camp,Camp de Tarragona,2017,2080,20,1824,9.62,877,91,,,0.000194,0.000122,,,,,,,,,,,,,,,,
Borrassà,430379,Alt Empordà,Comarques Gironines,2017,715,6,730,8.39,1021,122,,,0.000058,0.000049,,,,,,,,,,,,,,,,
Borredà,80348,Berguedà,Comarques Centrals,2017,480,6,514,12.5,1071,86,,,0.000058,0.000034,,,,,,,,,,,,,,,,
Bossòst,80327,Aran,Alt Pirineu i Aran,2017,1120,59,6500,52.68,5804,110,,,0.000572,0.000435,,,,,,,,,,,,,,,,
Bot,170335,Terra Alta,Terres de l'Ebre,2017,609,7,316,11.49,519,45,,,0.000068,0.000021,,,,,,,,,,,,,,,,
Botarell,80333,Baix Camp,Camp de Tarragona,2017,1078,5,213,4.64,198,43,,,0.000048,0.000014,,,,,,,,,,,,,,,,
Bovera,80351,Garrigues,Ponent,2017,266,4,56,15.04,211,14,,,0.000039,0.000004,,,,,,,,,,,,,,,,
Bràfim,80370,Alt Camp,Camp de Tarragona,2017,672,5,159,7.44,237,32,,,0.000048,0.000011,,,,,,,,,,,,,,,,
Breda,80386,Selva,Comarques Gironines,2017,3740,49,5359,13.1,1433,109,,,0.000475,0.000358,,,,,,,,,,,,,,,,
"Bruc, el",80364,Anoia,Penedès,2017,1988,18,3249,9.05,1634,181,,,0.000174,0.000217,,,,,,,,,,,,,,,,
"Brull, el",170340,Osona,Comarques Centrals,2017,258,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Brunyola,250621,Selva,Comarques Gironines,2017,369,4,738,10.84,2000,185,,,0.000039,0.000049,,,,,,,,,,,,,,,,
Cabacés,439039,Priorat,Camp de Tarragona,2017,309,3,151,9.71,489,50,,,0.000029,0.00001,,,,,,,,,,,,,,,,
Cabanabona,430385,Noguera,Ponent,2017,81,1,5,12.35,62,5,,,0.00001,0,,,,,,,,,,,,,,,,
Cabanelles,170353,Alt Empordà,Comarques Gironines,2017,265,2,96,7.55,362,48,,,0.000019,0.000006,,,,,,,,,,,,,,,,
Cabanes,170366,Alt Empordà,Comarques Gironines,2017,903,8,1947,8.86,2156,243,,,0.000078,0.00013,,,,,,,,,,,,,,,,
"Cabanyes, les",170372,Alt Penedès,Penedès,2017,947,9,1447,9.5,1528,161,,,0.000087,0.000097,,,,,,,,,,,,,,,,
Cabó,80399,Alt Urgell,Alt Pirineu i Aran,2017,93,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Cabra del Camp,170388,Alt Camp,Camp de Tarragona,2017,1131,6,338,5.31,299,56,,,0.000058,0.000023,,,,,,,,,,,,,,,,
Cabrera d'Anoia,170391,Anoia,Penedès,2017,1364,2,2142,1.47,1570,1071,,,0.000019,0.000143,,,,,,,,,,,,,,,,
Cabrera de Mar,250637,Maresme,Metropolità,2017,4594,91,44399,19.81,9665,488,0.1209,0.0159,0.000882,0.00297,,,,,,,,,,,,,,,,
Cabrils,170405,Maresme,Metropolità,2017,7296,40,7303,5.48,1001,183,,,0.000388,0.000489,,,,,,,,,,,,,,,,
Cadaqués,80403,Alt Empordà,Comarques Gironines,2017,2794,64,5096,22.91,1824,80,,,0.00062,0.000341,,,,,,,,,,,,,,,,
Calaf,80410,Anoia,Comarques Centrals,2017,3477,51,5443,14.67,1565,107,,,0.000494,0.000364,,,,,,,,,,,,,,,,
Calafell,80425,Baix Penedès,Penedès,2017,24898,330,44246,13.25,1777,134,0.8909,0.6975,0.003197,0.00296,19,16,30,48,71,25,105,16,996,7071,4893,8686,4638,1667,14868,1427
Calders,170412,Moianès,Comarques Centrals,2017,962,6,991,6.24,1030,165,,,0.000058,0.000066,,,,,,,,,,,,,,,,
Caldes d'Estrac,80431,Maresme,Metropolità,2017,2823,22,982,7.79,348,45,,,0.000213,0.000066,,,,,,,,,,,,,,,,
Caldes de Malavella,430398,Selva,Comarques Gironines,2017,7351,60,5439,8.16,740,91,0.8833,0.8138,0.000581,0.000364,,,,,,,,,,,,,,,,
Caldes de Montbui,430402,Vallès Oriental,Metropolità,2017,17187,261,36465,15.19,2122,140,0.8966,718,0.002529,0.002439,17,22,4,45,48,27,74,24,1987,6511,680,7476,4109,2047,11162,2493
Calella,80446,Maresme,Metropolità,2017,18481,406,42449,21.97,2297,105,0.9951,0.9303,0.003934,0.002839,11,8,31,64,128,35,108,21,985,902,4350,7479,10617,2050,13898,2168
Calldetenes,170427,Osona,Comarques Centrals,2017,2446,25,2170,10.22,887,87,,,0.000242,0.000145,,,,,,,,,,,,,,,,
Callús,80459,Bages,Comarques Centrals,2017,2067,16,1433,7.74,693,90,,,0.000155,0.000096,,,,,,,,,,,,,,,,
Calonge,80462,Baix Empordà,Comarques Gironines,2017,10804,118,22720,10.92,2103,193,822,0.6872,0.001143,0.00152,4,10,7,24,6,9,43,15,216,1693,1446,6860,369,483,9929,1724
Calonge de Segarra,80478,Anoia,Comarques Centrals,2017,198,1,13,5.05,66,13,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Camarasa,80484,Noguera,Ponent,2017,863,10,956,11.59,1108,96,,,0.000097,0.000064,,,,,,,,,,,,,,,,
Camarles,430419,Baix Ebre,Terres de l'Ebre,2017,3270,43,5939,13.15,1816,138,,,0.000417,0.000397,,,,,,,,,,,,,,,,
Cambrils,170448,Baix Camp,Camp de Tarragona,2017,32855,465,53420,14.15,1626,115,0.9269,0.9041,0.004505,0.003573,17,24,19,84,130,46,120,25,973,4596,4423,8161,8220,3196,21561,2290
Camós,80497,Pla de l'Estany,Comarques Gironines,2017,687,2,127,2.91,185,64,,,0.000019,0.000008,,,,,,,,,,,,,,,,
Campdevànol,80575,Ripollès,Comarques Gironines,2017,3243,40,9696,12.33,2990,242,,,0.000388,0.000649,,,,,,,,,,,,,,,,
Campelles,259046,Ripollès,Comarques Gironines,2017,135,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Campins,170486,Vallès Oriental,Metropolità,2017,498,1,9,2.01,18,9,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Campllong,250642,Gironès,Comarques Gironines,2017,525,2,654,3.81,1246,327,,,0.000019,0.000044,,,,,,,,,,,,,,,,
Camprodon,80522,Ripollès,Comarques Gironines,2017,2214,75,5769,33.88,2606,77,,,0.000727,0.000386,,,,,,,,,,,,,,,,
Canejan,80500,Aran,Alt Pirineu i Aran,2017,88,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Canet d'Adri,80517,Gironès,Comarques Gironines,2017,703,2,264,2.84,376,132,,,0.000019,0.000018,,,,,,,,,,,,,,,,
Canet de Mar,80538,Maresme,Metropolità,2017,14423,184,17408,12.76,1207,95,0.9674,893,0.001783,0.001164,7,13,13,21,36,18,65,11,1087,4267,2094,1807,2017,943,4302,891
"Canonja, la",80543,Tarragonès,Camp de Tarragona,2017,5804,47,8920,8.1,1537,190,0.8298,0.4132,0.000455,0.000597,,,,,,,,,,,,,,,,
